id,city,weather,temperature,temperature_f,timestamp,timestamp_local,feels_like,feels_like_f,wind_speed,humidity
73,Bloomington,overcast clouds,-5.49,22.12,2025-01-24 19:27:14,2025-01-24 13:27:14-06:00,-9.19,15.46,2.24,50.0
74,Marquette,clear sky,-9.37,15.13,2025-01-24 19:27:45,2025-01-24 14:27:45-05:00,-13.01,8.58,1.79,67.0
75,Baraboo,clear sky,-7.84,17.89,2025-01-24 19:27:45,2025-01-24 13:27:45-06:00,-14.82,5.32,5.14,54.0
76,Zurich,overcast clouds,7.17,44.91,2025-01-24 19:27:45,2025-01-24 20:27:45+01:00,5.84,42.51,2.06,70.0
77,Norilsk,broken clouds,-35.84,-32.51,2025-01-24 19:27:45,2025-01-25 02:27:45+07:00,-42.84,-45.11,3.67,95.0
78,Nashville,clear sky,1.84,35.31,2025-01-24 19:27:45,2025-01-24 13:27:45-06:00,-2.69,27.16,5.14,42.0
79,Bloomington,clear sky,-4.48,23.94,2025-01-24 20:01:19,2025-01-24 14:01:19-06:00,-11.03,12.15,5.81,47.0
80,Marquette,clear sky,-9.29,15.28,2025-01-24 20:01:21,2025-01-24 15:01:21-05:00,-13.65,7.43,2.24,66.0
81,Baraboo,scattered clouds,-7.84,17.89,2025-01-24 20:01:21,2025-01-24 14:01:21-06:00,-14.82,5.32,5.14,55.0
82,Zurich,overcast clouds,7.5,45.5,2025-01-24 20:01:22,2025-01-24 21:01:22+01:00,5.81,42.46,2.57,65.0
83,Norilsk,broken clouds,-35.36,-31.65,2025-01-24 20:01:22,2025-01-25 03:01:22+07:00,-42.36,-44.25,3.62,94.0
84,Nashville,clear sky,2.05,35.69,2025-01-24 20:01:23,2025-01-24 14:01:23-06:00,-1.84,28.69,4.12,41.0
85,Bloomington,overcast clouds,-5.23,22.59,2025-01-24 20:36:56,2025-01-24 14:36:56-06:00,-8.22,17.2,1.79,52.0
86,Marquette,clear sky,-9.08,15.66,2025-01-24 20:36:56,2025-01-24 15:36:56-05:00,-14.02,6.76,2.68,65.0
87,Baraboo,clear sky,-7.47,18.55,2025-01-24 20:36:56,2025-01-24 14:36:56-06:00,-13.56,7.59,4.12,59.0
88,Zurich,overcast clouds,7.42,45.36,2025-01-24 20:36:56,2025-01-24 21:36:56+01:00,6.66,43.99,1.54,63.0
89,Norilsk,broken clouds,-35.24,-31.43,2025-01-24 20:36:57,2025-01-25 03:36:57+07:00,-42.24,-44.03,3.62,94.0
90,Nashville,clear sky,2.75,36.95,2025-01-24 20:36:57,2025-01-24 14:36:57-06:00,-0.98,30.24,4.12,38.0
91,Bloomington,overcast clouds,-5.57,21.97,2025-01-25 02:36:40,2025-01-24 20:36:40-06:00,-12.57,9.37,7.72,68.0
92,Marquette,overcast clouds,-11.79,10.78,2025-01-25 02:36:40,2025-01-24 21:36:40-05:00,-17.82,-0.08,3.13,62.0
93,Baraboo,overcast clouds,-7.73,18.09,2025-01-25 02:36:40,2025-01-24 20:36:40-06:00,-14.3,6.26,4.63,69.0
94,Zurich,broken clouds,3.73,38.71,2025-01-25 02:36:40,2025-01-25 03:36:40+01:00,3.73,38.71,1.03,80.0
95,Norilsk,overcast clouds,-33.0,-27.4,2025-01-25 02:36:40,2025-01-25 09:36:40+07:00,-40.0,-40.0,3.15,89.0
96,Nashville,few clouds,-2.51,27.48,2025-01-25 02:36:41,2025-01-24 20:36:41-06:00,-5.46,22.17,2.06,56.0
